,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1707,Elantra,Hyundai,Automatic,Saudi,Full,2017,1.6,132310,49500
1708,Patrol,Nissan,Automatic,Saudi,Semi Full,2015,4.0,134000,135000
1709,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,200000,40000
1710,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,271000,55000
1711,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,123000,69000
1712,Caprice,Chevrolet,Manual,Saudi,Standard,2009,6.0,230945,15000
1713,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,110000,27000
1714,Pajero,Mitsubishi,Automatic,Saudi,Full,2017,3.5,111000,68000
1715,Senta fe,Hyundai,Automatic,Saudi,Full,2014,3.3,150,50000
1716,A,Mercedes,Automatic,Other,Full,2020,1.3,4700,165000
1717,Hilux,Toyota,Manual,Gulf Arabic,Standard,2016,2.0,202332,57000
1718,Touareg,Volkswagen,Automatic,Saudi,Semi Full,2012,4.0,243000,50000
1719,A6,Audi,Automatic,Saudi,Full,2014,3.5,79000,85000
1720,Acadia,GMC,Automatic,Saudi,Semi Full,2017,3.6,298000,75000
1721,LX,Lexus,Automatic,Other,Full,2006,4.7,246000,37000
1722,The 7,BMW,Automatic,Saudi,Full,2018,2.0,52000,200000
1723,Tahoe,Chevrolet,Automatic,Saudi,Standard,2016,5.3,194000,116000
1724,Yukon,GMC,Automatic,Saudi,Full,2006,5.3,377000,20000
1725,Avalon,Toyota,Automatic,Saudi,Semi Full,2019,3.5,65000,123000
1726,The 7,BMW,Automatic,Saudi,Full,2009,1.0,327000,48000
1727,Creta,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,125000,57000
1728,Charger,Dodge,Automatic,Saudi,Standard,2010,5.7,240000,25000
1729,Taurus,Ford,Automatic,Saudi,Standard,2018,2.0,69000,82000
1730,Hilux,Toyota,Manual,Gulf Arabic,Full,2020,2.7,15000,105500
1731,Yukon,GMC,Automatic,Saudi,Standard,2013,5.3,107000,75000
1732,FJ,Toyota,Automatic,Saudi,Semi Full,2016,4.6,272,85000
1733,Optima,Kia,Automatic,Saudi,Semi Full,2017,2.4,245000,45000
1734,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,82569,80500
1735,Charger,Dodge,Automatic,Gulf Arabic,Semi Full,2019,3.6,55000,109000
1736,ES,Lexus,Automatic,Other,Semi Full,2016,3.5,104000,98000
1737,Copper,Others,Automatic,Gulf Arabic,Semi Full,2016,2.0,107000,59000
1738,Yukon,GMC,Automatic,Saudi,Standard,2018,5.3,133634,146500
1739,Tucson,Hyundai,Automatic,Saudi,Standard,2020,2.0,16458,78500
1740,Prado,Toyota,Automatic,Saudi,Semi Full,2017,4.0,89000,118000
1741,VTC,Nissan,Manual,Gulf Arabic,Standard,2014,4.8,244000,50000
1742,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,41853,60000
1743,S,Mercedes,Automatic,Saudi,Full,2013,8.0,160000,110000
1744,Optima,Kia,Automatic,Gulf Arabic,Full,2018,2.4,83000,75000
1745,Silverado,Chevrolet,Automatic,Gulf Arabic,Standard,2016,5.3,143000,87000
1746,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,87775,26000
1747,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,98000,35000
1748,Odyssey,Honda,Automatic,Saudi,Semi Full,2016,3.5,71000,63000
1749,Ciocca,Toyota,Automatic,Saudi,Semi Full,2015,5.7,85000,125000
1750,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,135000,27500
1751,6,Mazda,Automatic,Saudi,Semi Full,2019,2.5,92000,70000
1752,Avalon,Toyota,Automatic,Other,Full,2008,3.6,201,30000
1753,Furniture,Toyota,Automatic,Saudi,Full,2017,4.0,176000,55000
1754,Mustang,Ford,Manual,Other,Standard,2015,5.0,119000,85000
1755,H1,Hyundai,Automatic,Other,Semi Full,2016,2.4,280000,32000
1756,Passat,Volkswagen,Automatic,Saudi,Standard,2014,2.5,88673,50000
1757,Cadenza,Kia,Automatic,Saudi,Standard,2020,3.5,38000,68000
1758,Charger,Dodge,Automatic,Saudi,Semi Full,2016,5.7,236335,78500
1759,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.5,201074,55000
1760,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,64126,32000
1761,Explorer,Ford,Automatic,Other,Standard,2016,2.5,83000,86000
1762,Expedition,Ford,Automatic,Other,Semi Full,2007,5.4,250000,25000
1763,Elantra,Hyundai,Automatic,Other,Full,2016,1.6,74000,50000
1764,Taurus,Ford,Automatic,Other,Full,2015,3.5,96000,85000
1765,500,Others,Automatic,Gulf Arabic,Full,2017,1.4,74000,48000
1766,Range Rover,Land Rover,Automatic,Other,Full,2015,2.8,102000,158000
1767,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,56991,33500
1768,Camry,Toyota,Manual,Saudi,Semi Full,2004,2.5,400000,15000
1769,Altima,Nissan,Automatic,Saudi,Semi Full,2017,3.0,85000,58000
1770,Prestige,Genesis,Automatic,Saudi,Semi Full,2013,3.8,185000,40000
1771,Cerato,Kia,Automatic,Saudi,Semi Full,2016,1.6,150000,30000
1772,Sentra,Nissan,Automatic,Saudi,Standard,2018,1.6,143000,38000
1773,C,Mercedes,Automatic,Other,Full,2016,2.2,95000,127000
1774,D-MAX,Isuzu,Manual,Saudi,Standard,2015,2.5,445539,53000
1775,Senta fe,Hyundai,Automatic,Saudi,Full,2013,3.3,196000,39000
1776,Taurus,Ford,Automatic,Other,Full,2016,3.5,200000,57000
1777,RX,Lexus,Automatic,Gulf Arabic,Full,2013,3.5,190000,85000
1778,Patrol,Nissan,Manual,Saudi,Semi Full,2004,4.8,350000,25000
1779,Cherokee,Jeep,Automatic,Other,Semi Full,2019,2.4,55000,75000
1780,Yukon,GMC,Automatic,Saudi,Standard,2018,5.3,68878,146500
1781,S,Mercedes,Automatic,Saudi,Full,2007,3.5,243000,45000
1782,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,50000,53000
1783,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,95000,141000
1784,Yukon,GMC,Automatic,Saudi,Standard,2017,5.3,137317,130000
1785,Expedition,Ford,Automatic,Saudi,Semi Full,2013,5.6,336000,50000
1786,Armada,Nissan,Automatic,Saudi,Full,2006,5.6,184000,30000
1787,Sierra,GMC,Automatic,Gulf Arabic,Full,2020,5.3,37000,159000
1788,Durango,Dodge,Automatic,Saudi,Full,2020,3.6,36500,130000
1789,Prado,Toyota,Automatic,Saudi,Standard,2016,4.0,74000,120000
1790,Logan,Renault,Manual,Saudi,Semi Full,2014,1.6,210,10000
1791,Camry,Toyota,Automatic,Other,Standard,2016,2.5,161000,55000
1792,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,33000,40000
1793,Expedition,Ford,Automatic,Saudi,Semi Full,2020,5.4,14000,173000
1794,CX9,Mazda,Automatic,Saudi,Full,2015,2.5,314000,59000
1795,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2014,4.6,346000,130000
1796,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,362000,38000
1797,Optima,Kia,Automatic,Gulf Arabic,Full,2014,2.4,215000,40000
1798,ES,Lexus,Automatic,Saudi,Standard,2021,2.5,700,183000
1799,Juke,Nissan,Automatic,Saudi,Semi Full,2014,1.5,225000,26000
1800,Corolla,Toyota,Automatic,Other,Semi Full,2015,1.6,309000,32000
1801,Cadenza,Kia,Automatic,Saudi,Standard,2017,3.0,175000,50000
1802,Accord,Honda,Automatic,Saudi,Semi Full,2017,2.5,63000,82000
1803,Ram,Dodge,Automatic,Saudi,Semi Full,2011,5.7,190000,40000
1804,E,Mercedes,Automatic,Saudi,Full,2016,2.0,94000,110000
1805,Expedition,Ford,Automatic,Saudi,Full,2020,3.5,5000,180000
1806,C300,Chrysler,Automatic,Saudi,Full,2018,5.7,70000,123000
1807,Prado,Toyota,Automatic,Saudi,Semi Full,2009,4.0,85000,73000
1808,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,55000,57000
1809,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.0,82900,46000
1810,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,105000,35000
1811,Cerato,Kia,Automatic,Saudi,Full,2015,2.0,104000,28000
1812,Furniture,Toyota,Automatic,Saudi,Semi Full,2020,4.0,3000,135000
1813,Caprice,Chevrolet,Automatic,Saudi,Full,2014,6.0,163000,82000
1814,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,110000,45000
1815,Pajero,Mitsubishi,Automatic,Saudi,Standard,2012,3.5,78276,41500
1816,Tahoe,Chevrolet,Automatic,Saudi,Standard,2007,5.3,374000,32000
1817,6,Mazda,Automatic,Saudi,Standard,2016,2.5,88350,50000
1818,Sonata,Hyundai,Automatic,Other,Semi Full,2017,1.7,82190,63000
1819,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,50000,188500
1820,Expedition,Ford,Automatic,Saudi,Standard,2009,5.4,318500,24500
1821,Explorer,Ford,Automatic,Saudi,Standard,2012,3.5,336000,35000
1822,Tahoe,Chevrolet,Automatic,Saudi,Standard,2011,5.3,143000,55000
1823,Compass,Jeep,Automatic,Saudi,Standard,2016,2.4,96213,38500
1824,Optima,Kia,Automatic,Saudi,Semi Full,2016,2.4,233124,51500
1825,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2015,4.0,212000,145000
1826,Terrain,GMC,Automatic,Saudi,Standard,2016,2.4,151000,45000
1827,Hilux,Toyota,Manual,Saudi,Full,2019,2.7,122,75000
1828,Range Rover,Land Rover,Automatic,Saudi,Full,2006,4.4,289000,20000
1829,Sonata,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,305000,45000
1830,Sonata,Hyundai,Automatic,Saudi,Full,2017,1.6,240000,45000
1831,GS3,Others,Automatic,Gulf Arabic,Semi Full,2021,1.3,9000,46000
1832,Creta,Hyundai,Automatic,Saudi,Standard,2019,1.6,24516,56500
1833,Land Cruiser,Toyota,Manual,Gulf Arabic,Full,2016,4.0,220000,130000
1834,Explorer,Ford,Automatic,Saudi,Semi Full,2014,3.5,168322,60000
1835,Sunny,Nissan,Automatic,Gulf Arabic,Standard,2019,1.5,92300,29000
1836,KICKS,Nissan,Automatic,Saudi,Standard,2020,1.5,3990,67000
1837,S300,Chrysler,Automatic,Other,Full,2011,1.3,140000,23000
1838,Furniture,Toyota,Automatic,Saudi,Standard,2019,2.7,113000,105000
1839,5008,Others,Automatic,Saudi,Semi Full,2018,1.6,34000,85000
1840,Blazer,Chevrolet,Automatic,Gulf Arabic,Full,2005,3.6,150000,14000
1841,Tiguan,Volkswagen,Automatic,Saudi,Full,2019,2.0,60000,114000
1842,Hilux,Toyota,Automatic,Saudi,Full,2018,2.7,218000,78000
1843,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,52000,51000
1844,Prado,Toyota,Automatic,Gulf Arabic,Full,2016,3.8,168000,109500
1845,H1,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,179000,45000
1846,Yukon,GMC,Automatic,Other,Full,2016,4.5,158000,152000
1847,Elantra,Hyundai,Automatic,Saudi,Standard,2016,2.0,119000,33000
1848,Fusion,Ford,Automatic,Gulf Arabic,Standard,2016,2.5,81000,46000
1849,X,BMW,Automatic,Saudi,Full,2009,3.0,180000,35000
1850,Rav4,Toyota,Automatic,Saudi,Semi Full,2017,2.5,162000,60000
1851,ES,Lexus,Automatic,Other,Full,2017,3.5,101000,119000
1852,Sentra,Nissan,Automatic,Saudi,Standard,2016,1.6,81000,38000
1853,Rio,Kia,Automatic,Saudi,Standard,2014,1.4,78000,24000
1854,Camry,Toyota,Automatic,Saudi,Full,2021,2.5,555,119000
1855,Impala,Chevrolet,Automatic,Gulf Arabic,Semi Full,2019,3.6,85000,73000
1856,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,91000,32000
1857,Silverado,Chevrolet,Automatic,Saudi,Standard,2018,4.3,70000,77000
1858,Tahoe,Chevrolet,Automatic,Other,Semi Full,2007,5.3,228400,39000
1859,Furniture,Toyota,Automatic,Saudi,Standard,2011,2.7,325,32000
1860,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,90000,57000
1861,Golf,Volkswagen,Automatic,Gulf Arabic,Full,2016,2.0,111000,65000
1862,Camry,Toyota,Automatic,Saudi,Standard,2018,2.5,85000,75000
1863,Taurus,Ford,Automatic,Other,Full,2015,3.5,122000,69000
1864,Tahoe,Chevrolet,Automatic,Saudi,Full,2014,5.7,205000,70000
1865,Yukon,GMC,Automatic,Saudi,Standard,2005,5.3,409000,20000
1866,6,Mazda,Automatic,Saudi,Standard,2018,2.5,68263,66500
1867,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,212000,57000
1868,Land Cruiser,Toyota,Automatic,Gulf Arabic,Semi Full,2015,4.6,248000,135000
1869,IS,Lexus,Automatic,Saudi,Semi Full,2018,3.5,131,166000
1870,Flex,Ford,Automatic,Gulf Arabic,Standard,2017,2.5,110000,67000
1871,Accord,Honda,Automatic,Saudi,Semi Full,2013,2.4,250920,55000
1872,Sonata,Hyundai,Automatic,Saudi,Full,2013,2.6,280,25000
1873,CS95,Changan,Automatic,Saudi,Full,2019,2.0,47000,77000
1874,ES,Lexus,Automatic,Gulf Arabic,Full,2018,3.5,128000,93500
1875,Sierra,GMC,Automatic,Gulf Arabic,Semi Full,2006,5.3,283000,29000
1876,Tahoe,Chevrolet,Automatic,Other,Full,2015,5.3,193000,118000
1877,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,250385,47500
1878,Rio,Kia,Manual,Saudi,Standard,2008,1.0,323880,9000
1879,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.6,137000,29000
1880,Odyssey,Honda,Automatic,Saudi,Standard,2010,4.6,200000,22000
1881,Sonata,Hyundai,Automatic,Saudi,Semi Full,2007,2.4,255559,15000
1882,Patrol,Nissan,Automatic,Saudi,Full,2020,1.4,89000,210000
1883,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,93788,29000
1884,Accord,Honda,Automatic,Saudi,Semi Full,2018,1.6,32000,97000
1885,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2015,3.5,99000,55000
1886,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,235000,50000
1887,S5,Audi,Automatic,Saudi,Full,2018,3.0,79800,160000
1888,Sunny,Nissan,Automatic,Gulf Arabic,Standard,2016,1.5,158000,23000
1889,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.5,133000,29000
1890,ES,Lexus,Automatic,Gulf Arabic,Full,2018,2.4,20000,126000
1891,FJ,Toyota,Automatic,Saudi,Full,2017,7.5,138000,118000
1892,Yukon,GMC,Automatic,Other,Full,2016,5.3,213000,146000
1893,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,78000,40000
1894,Camry,Toyota,Automatic,Saudi,Full,2020,2.5,22000,77000
1895,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,106665,205000
1896,Sierra,GMC,Automatic,Other,Full,2014,5.3,235,72000
1897,Optima,Kia,Automatic,Gulf Arabic,Full,2014,2.4,200,45000
1898,Sentra,Nissan,Automatic,Gulf Arabic,Standard,2018,1.6,97000,39000
1899,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,39750,40000
1900,ML,Mercedes,Automatic,Saudi,Full,2000,3.3,111744,18000
1901,F150,Ford,Automatic,Gulf Arabic,Semi Full,2016,5.0,115000,93000
1902,Suburban,GMC,Automatic,Saudi,Semi Full,2004,5.3,135000,18500
1903,Land Cruiser,Toyota,Automatic,Saudi,Full,2015,4.0,92000,165000
1904,Elantra,Hyundai,Automatic,Saudi,Full,2020,2.0,44000,61000
1905,ES,Lexus,Automatic,Saudi,Standard,2009,3.6,300000,43000
1906,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,31000,35000
1907,Corolla,Toyota,Automatic,Saudi,Standard,2020,1.6,109885,57000
1908,S,Mercedes,Automatic,Saudi,Full,2011,3.0,189,100000
1909,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,234000,56000
1910,Sorento,Kia,Automatic,Saudi,Full,2015,3.5,116731,52000
1911,Datsun,Nissan,Manual,Saudi,Semi Full,2016,2.4,39000,52000
1912,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2013,3.5,127000,38000
1913,Rav4,Toyota,Automatic,Saudi,Full,2016,2.0,216000,60000
1914,M,Others,Automatic,Saudi,Full,2007,4.5,303000,10000
1915,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,28000,48000
1916,Escalade,Cadillac,Automatic,Saudi,Full,2009,6.2,219000,50000
1917,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,69000,34000
1918,Furniture,Toyota,Automatic,Saudi,Standard,2013,2.7,350000,50000
1919,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,90084,50000
1920,6,Mazda,Automatic,Saudi,Full,2019,2.5,50000,90000
1921,Camry,Toyota,Manual,Other,Standard,2002,2.4,450000,14000
1922,Tahoe,Chevrolet,Automatic,Saudi,Standard,2012,5.3,297000,52000
1923,Range Rover,Land Rover,Automatic,Saudi,Semi Full,2015,3.0,125000,165000
1924,C,Mercedes,Automatic,Saudi,Full,2014,1.8,148925,79500
1925,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,102113,39500
1926,Cadenza,Kia,Automatic,Saudi,Standard,2016,3.5,130000,56000
1927,Caprice,Chevrolet,Automatic,Saudi,Standard,2013,6.0,313000,35000
1928,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,103966,43500
1929,Camry,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,73000,61000
1930,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,193000,45000
1931,Corolla,Toyota,Automatic,Saudi,Standard,2018,2.0,245000,41000
1932,Accord,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,80000,69000
1933,X,BMW,Automatic,Gulf Arabic,Full,2016,4.4,130341,161500
1934,Yukon,GMC,Automatic,Other,Semi Full,2002,5.3,300000,10000
1935,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,91959,48500
1936,Ciocca,Toyota,Automatic,Saudi,Semi Full,2016,5.7,117000,140000
1937,Caprice,Chevrolet,Automatic,Saudi,Standard,2013,6.0,124628,75000
1938,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,159000,55000
1939,Hilux,Toyota,Manual,Saudi,Standard,2016,2.7,155000,75000
1940,Daily,Others,Manual,Saudi,Standard,2018,3.0,116000,92000
1941,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,176000,49000
1942,Tahoe,Chevrolet,Automatic,Saudi,Standard,2017,5.3,136517,107000
1943,Yukon,GMC,Automatic,Saudi,Full,2013,5.3,206000,90000
1944,Yukon,GMC,Automatic,Saudi,Full,2008,5.3,382000,45000
1945,Sonata,Hyundai,Automatic,Saudi,Full,2018,2.4,135000,58000
1946,Terrain,GMC,Automatic,Saudi,Semi Full,2013,2.4,90000,35000
1947,Nitro,Dodge,Automatic,Saudi,Full,2011,3.7,230000,17000
1948,Yaris,Toyota,Automatic,Saudi,Standard,2019,1.5,70000,39000
1949,LS,Lexus,Automatic,Saudi,Full,2012,1.8,150000,95000
1950,Innova,Toyota,Automatic,Gulf Arabic,Full,2016,2.7,190000,65000
1951,CX9,Mazda,Automatic,Saudi,Full,2015,2.5,115000,82000
