,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
0,Yukon,GMC,Automatic,Saudi,Full,2014,8.0,80000,120000
1,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
2,CX3,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
3,Cayenne S,Porsche,Automatic,Saudi,Full,2012,4.8,189000,85000
4,Sonata,Hyundai,Automatic,Saudi,Full,2016,2.4,155,48000
5,Avalon,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
6,C300,Chrysler,Automatic,Saudi,Full,2013,5.7,200,55000
7,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
8,LS,Lexus,Automatic,Saudi,Full,2008,4.6,299000,38000
9,FJ,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
10,Land Cruiser,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
11,Tucson,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,65000
12,Sunny,Nissan,Manual,Saudi,Standard,2011,1.4,290,7000
13,Pajero,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
14,Azera,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,32000
15,Focus,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
16,5,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
17,Spark,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
18,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,10000
19,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
20,ML,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
21,Corolla,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,30000
22,Tahoe,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,149000
23,A,Mercedes,Automatic,Other,Standard,2021,2.0,10000,179000
24,Altima,Nissan,Automatic,Saudi,Full,2011,2.5,18500,22000
25,Tahoe,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,55000
26,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,270000,49500
27,Senta fe,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,52000
28,Liberty,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
29,X,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
30,Land Cruiser Pickup,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
31,VTC,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,99000
32,Malibu,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
33,The 5,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
34,Patrol,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
35,Sonata,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
36,Grand Cherokee,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
37,Camry,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
38,Previa,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
39,FJ,Toyota,Automatic,Saudi,Full,2015,4.0,228000,90000
40,MKZ,Others,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
41,Datsun,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
42,Hilux,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,62000
43,Yukon,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
44,Edge,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
45,6,Mazda,Automatic,Saudi,Standard,2021,2.5,115,93000
46,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
47,Navara,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,50000
48,Senta fe,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,69000
49,G80,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
50,Carnival,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
51,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,51000
52,Camaro,Chevrolet,Automatic,Other,Full,2018,3.6,89000,109000
53,Accord,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
54,Malibu,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,47000
55,C300,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
56,Sunny,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
57,Sunny,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,20000
58,Azera,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,47000
59,Tahoe,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
60,Datsun,Nissan,Manual,Saudi,Standard,2016,2.4,866,53000
61,Innova,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,39000
62,Taurus,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
63,Avalon,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
64,Camry,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
65,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
66,Elantra,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,35000
67,Flex,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
68,S,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,45000
69,Cerato,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
70,Furniture,Toyota,Manual,Saudi,Standard,2009,2.7,530500,33000
71,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
72,Murano,Nissan,Automatic,Saudi,Standard,2008,1.0,300,9500
73,S,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,63000
74,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
75,Land Cruiser 70,Toyota,Manual,Saudi,Full,2015,2.6,180000,80000
76,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,60000
77,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,44000
78,3,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,54000
79,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
80,Pick up,Others,Manual,Saudi,Semi Full,2020,2.4,13800,35000
81,Charger,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,79000
82,H6,Others,Automatic,Saudi,Full,2020,1.5,9000,70000
83,Hilux,Toyota,Manual,Saudi,Full,2017,2.7,168000,81000
84,Corolla,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
85,Hiace,Toyota,Manual,Saudi,Standard,2017,2.7,192692,68500
86,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,48000,80000
87,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,33500
88,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,33000
89,Fusion,Ford,Automatic,Saudi,Standard,2012,2.5,219000,14500
90,Aveo,Chevrolet,Manual,Other,Standard,2011,1.2,102000,11000
91,Sonata,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
92,Corolla,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,36500
93,Cerato,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
94,CX9,Mazda,Automatic,Saudi,Full,2016,2.5,229000,63000
95,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
96,Flex,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
97,Optima,Kia,Automatic,Saudi,Full,2017,2.4,130,48000
98,Azera,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,75000
99,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,61500
100,Camry,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,25000
101,Yaris,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,32000
102,Sierra,GMC,Automatic,Saudi,Standard,2011,5.3,231000,45000
103,Durango,Dodge,Automatic,Saudi,Semi Full,2013,5.7,487100,35000
104,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,44500
105,Pick up,Others,Manual,Saudi,Full,2016,2.4,128,35000
106,Pajero,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,39000
107,Charger,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,99000
108,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,29000
109,CT-S,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,32000
110,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,60000
111,Carnival,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
112,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,125000
113,Sylvian Bus,Nissan,Manual,Saudi,Full,2018,3.0,3000,107000
114,ES,Lexus,Automatic,Other,Full,2016,3.5,103000,102000
115,Navigator,Others,Automatic,Saudi,Full,2013,5.7,27700,50000
116,Sierra,GMC,Automatic,Saudi,Standard,2016,5.3,205544,99500
117,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,58000
118,ES,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,122000
119,ES,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,65000
120,Opirus,Kia,Automatic,Other,Semi Full,2006,3.5,25500,14000
121,Yaris,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,23000
122,Senta fe,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,21000
123,Taurus,Ford,Automatic,Other,Semi Full,2018,3.5,107000,77000
124,Patrol,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,88000
125,Taurus,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,52000
126,Expedition,Ford,Automatic,Saudi,Standard,2015,3.5,110790,77000
127,The 7,BMW,Automatic,Saudi,Full,2014,2.0,116000,100000
128,Camry,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,58000
129,Creta,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,59500
130,CX9,Mazda,Automatic,Other,Full,2016,2.5,104000,105000
131,Expedition,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,45000
132,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,30000
133,Elantra,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,59500
134,Camry,Toyota,Automatic,Saudi,Full,2020,2.4,2000,119000
135,Azera,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,56500
136,CS35,Changan,Automatic,Saudi,Full,2021,1.6,5000,44000
137,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,38500
138,Edge,Ford,Automatic,Saudi,Standard,2013,3.6,240000,35000
139,LS,Lexus,Automatic,Saudi,Full,2015,4.6,132000,165000
140,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,300000,48000
141,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,122000,65000
142,The 3,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,45000
143,Expedition,Ford,Automatic,Saudi,Standard,2014,5.4,143000,60000
144,Elantra,Hyundai,Automatic,Other,Standard,2015,2.0,300,25000
145,Sonata,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
146,Land Cruiser,Toyota,Automatic,Saudi,Full,2010,4.6,344000,88000
147,Sedona,Kia,Automatic,Other,Semi Full,2016,3.2,118000,65000
148,Victoria,Ford,Automatic,Saudi,Standard,2011,4.6,176000,50000
149,Prestige,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
150,Corolla,Toyota,Automatic,Saudi,Full,2003,1.0,50000,15000
151,CX9,Mazda,Automatic,Saudi,Full,2014,3.7,388000,37000
152,Tahoe,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,35000
153,Grand Cherokee,Jeep,Automatic,Saudi,Full,2013,5.7,77000,77000
154,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,33000
155,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,35500
156,Land Cruiser,Toyota,Manual,Gulf Arabic,Full,2013,1.0,378000,75000
157,ES,Lexus,Automatic,Saudi,Full,2013,1.6,263000,66000
158,Hilux,Toyota,Manual,Saudi,Full,2016,2.7,174172,65000
159,Hilux,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,75000
160,Safrane,Renault,Automatic,Saudi,Full,2012,2.6,144000,20000
161,Cores,Kia,Manual,Saudi,Standard,2005,4.0,400,10000
162,Cadenza,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,70000
163,D'max,Others,Manual,Other,Full,2001,1.0,1000,7000
164,Silverado,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,85000
165,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,128439,76500
166,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,55000
167,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
168,Land Cruiser Pickup,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,95000
169,Charger,Dodge,Automatic,Unknown,Full,2020,3.6,9120,115000
170,Rio,Kia,Automatic,Other,Standard,2017,1.4,147000,26000
171,Maxima,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,20000
172,X-Trail,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,69500
173,Cruze,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,15000
174,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,54000,80000
175,Taurus,Ford,Automatic,Saudi,Semi Full,2012,3.5,327000,35000
176,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,28500
177,ES,Lexus,Automatic,Other,Full,2019,3.5,40000,185000
178,Elantra,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,13000
179,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,50000
180,C,Mercedes,Automatic,Other,Full,2017,3.0,210000,210000
181,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,40000
182,FJ,Toyota,Automatic,Saudi,Standard,2016,4.0,130,100000
183,Seven,Changan,Automatic,Saudi,Standard,2020,1.5,55531,27500
184,Expedition,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
185,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,32000
186,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,49000
187,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,138000
188,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,126000
189,C300,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,40000
190,6,Mazda,Automatic,Gulf Arabic,Standard,2015,2.0,82914,53000
191,Focus,Ford,Automatic,Saudi,Standard,2012,1.6,181,15000
192,Elantra,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,285000,36000
193,Sierra,GMC,Automatic,Gulf Arabic,Semi Full,2000,1.5,400000,10000
194,Caprice,Chevrolet,Automatic,Other,Full,2009,6.0,350000,15000
195,Land Cruiser 70,Toyota,Manual,Saudi,Standard,2018,4.0,86852,109000
196,Expedition,Ford,Automatic,Saudi,Standard,2009,5.4,360,32000
197,G80,Genesis,Automatic,Saudi,Semi Full,2018,3.8,160000,100000
198,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,30000,194500
199,Grand Marquis,Others,Automatic,Saudi,Semi Full,2000,3.8,179000,14000
200,3,Mazda,Automatic,Saudi,Standard,2018,2.0,31000,54000
201,Camry,Toyota,Automatic,Gulf Arabic,Standard,2014,2.2,80250,55000
202,ES,Lexus,Automatic,Other,Full,2018,3.5,66000,139000
203,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.8,200,56000
204,The 5,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,16000,145000
205,CT-S,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
206,Malibu,Chevrolet,Automatic,Other,Semi Full,2013,2.5,220000,21000
207,Sonata,Hyundai,Automatic,Saudi,Standard,2017,2.4,166000,43000
208,LX,Lexus,Automatic,Saudi,Full,2014,5.7,220000,180000
209,C,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,108000
210,Impala,Chevrolet,Automatic,Saudi,Semi Full,2017,3.6,122102,53500
211,QX,Others,Automatic,Saudi,Full,2016,5.6,185000,119000
212,Seven,Changan,Automatic,Saudi,Standard,2021,1.5,11000,32500
213,Blazer,Chevrolet,Automatic,Saudi,Full,2008,3.6,128000,15000
214,C300,Chrysler,Automatic,Gulf Arabic,Full,2018,5.7,49000,135000
215,Taurus,Ford,Automatic,Saudi,Standard,2011,3.5,22000,50000
216,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,132000,65000
217,H1,Hyundai,Automatic,Saudi,Standard,2017,2.4,209677,47500
218,Taurus,Ford,Automatic,Other,Full,2016,3.5,91815,86000
219,Tucson,Hyundai,Automatic,Saudi,Standard,2017,2.0,124000,58500
220,Rav4,Toyota,Automatic,Saudi,Standard,2018,2.5,163000,69500
221,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,88000,24000
222,Sonata,Hyundai,Automatic,Other,Semi Full,2016,2.4,152000,52000
223,Impala,Chevrolet,Automatic,Gulf Arabic,Standard,2018,3.6,112000,67000
224,Innova,Toyota,Automatic,Saudi,Full,2015,2.7,226000,45000
225,The M,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,1600,135000
226,CX9,Mazda,Automatic,Saudi,Full,2015,2.5,234000,57000
227,Yukon,GMC,Automatic,Other,Full,2020,5.3,63860,175000
228,Land Cruiser Pickup,Nissan,Manual,Saudi,Full,2012,4.8,339822,40000
229,Accord,Honda,Automatic,Saudi,Full,2017,2.4,139806,71500
230,Accord,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,66000
231,Camry,Toyota,Manual,Saudi,Standard,2008,2.4,388000,17000
232,Cadenza,Kia,Automatic,Gulf Arabic,Full,2018,3.3,69000,95000
233,Camaro,Chevrolet,Automatic,Other,Full,2017,2.0,81633,120000
234,Suburban,GMC,Automatic,Other,Standard,2004,1.1,212,14000
235,Genesis,Hyundai,Automatic,Saudi,Full,2017,5.0,106000,90000
236,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,43000,30000
237,Taurus,Ford,Automatic,Saudi,Semi Full,2011,3.5,281000,29500
238,Camry,Toyota,Automatic,Saudi,Full,2013,2.5,185000,42000
239,Land Cruiser 70,Toyota,Manual,Saudi,Semi Full,2011,4.0,352500,58000
240,Fusion,Ford,Automatic,Saudi,Standard,2016,2.5,80000,50000
241,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2006,4.0,325000,15000
242,Grand Cherokee,Jeep,Automatic,Saudi,Full,2020,3.6,52000,162000
243,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,121500
244,Taurus,Ford,Automatic,Saudi,Standard,2013,3.6,353000,39500
245,Sonata,Hyundai,Automatic,Saudi,Semi Full,2018,2.5,90000,55000
246,Camry,Toyota,Automatic,Saudi,Full,2020,3.5,26000,126000
247,Cerato,Kia,Automatic,Saudi,Semi Full,2016,1.6,12100,30000
248,Charger,Dodge,Automatic,Saudi,Full,2017,5.7,64000,145000
249,Expedition,Ford,Automatic,Saudi,Standard,2014,5.4,16682,76500
250,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,129413,57500
251,Traverse,Chevrolet,Automatic,Gulf Arabic,Full,2012,3.6,176000,40000
252,Land Cruiser Pickup,Toyota,Manual,Saudi,Full,2015,4.0,203843,90000
253,FJ,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,114000,115000
254,Patrol,Nissan,Automatic,Saudi,Semi Full,2013,5.6,442000,85000
255,Suburban,Chevrolet,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,170000
256,Tahoe,Chevrolet,Automatic,Other,Full,2016,5.3,110000,144000
257,Impala,Chevrolet,Automatic,Gulf Arabic,Standard,2019,3.5,53000,80000
258,Charger,Dodge,Automatic,Saudi,Semi Full,2016,3.6,157136,84500
259,CX3,Mazda,Automatic,Saudi,Semi Full,2018,2.9,78000,54000
260,Cerato,Kia,Automatic,Saudi,Standard,2015,1.6,120000,25000
261,Furniture,Toyota,Automatic,Saudi,Semi Full,2013,4.1,285000,55000
262,C,Mercedes,Automatic,Other,Full,2018,2.0,91000,138000
263,Civic,Honda,Automatic,Saudi,Full,2016,2.0,68800,55000
264,Echo Sport,Ford,Automatic,Saudi,Standard,2015,1.4,101600,28000
265,Challenger,Dodge,Automatic,Other,Full,2016,3.6,160000,89000
266,Hilux,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
267,S,Mercedes,Automatic,Other,Full,2015,3.0,300000,188000
268,CL,Mercedes,Automatic,Saudi,Full,2011,4.0,60000,170000
269,Elantra,Hyundai,Automatic,Saudi,Standard,2020,2.0,56000,50000
270,Innova,Toyota,Automatic,Saudi,Semi Full,2007,2.7,199800,25000
271,Yukon,GMC,Automatic,Saudi,Standard,2013,5.3,327000,45000
272,Pajero,Mitsubishi,Automatic,Saudi,Standard,2012,3.8,86213,41500
273,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,27000,88000
274,Edge,Ford,Automatic,Saudi,Full,2011,3.5,231000,35000
275,Wrangler,Jeep,Automatic,Saudi,Full,2015,3.6,200,85000
276,Patrol,Nissan,Automatic,Saudi,Full,2015,3.2,125000,130000
277,Datsun,Nissan,Manual,Saudi,Full,2016,2.0,22000,45000
278,Taurus,Ford,Automatic,Other,Full,2016,3.5,105,83000
279,C,Mercedes,Automatic,Other,Full,2017,2.0,96000,170000
280,Charger,Dodge,Automatic,Other,Full,2016,1.7,140,65000
281,Pajero,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,216000,58000
282,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.5,161353,57500
283,Yaris,Toyota,Automatic,Saudi,Standard,2011,1.3,300500,14000
284,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,125000,66000
285,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.0,190000,38000
286,Sierra,GMC,Automatic,Saudi,Standard,2020,5.3,17000,135000
287,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.4,50000,33000
288,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,88564,26800
289,Land Cruiser,Toyota,Automatic,Saudi,Full,2013,4.6,101000,150000
290,Land Cruiser,Toyota,Automatic,Saudi,Full,2013,4.6,281000,135000
291,Rio,Kia,Automatic,Saudi,Semi Full,2018,2.0,85000,30000
292,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,74000,27000
293,Land Cruiser 70,Toyota,Manual,Saudi,Semi Full,2014,4.0,70000,69000
294,Elantra,Hyundai,Automatic,Saudi,Standard,2019,2.0,22999,53000
295,The 7,BMW,Automatic,Saudi,Full,2014,6.0,182000,90000
296,Maxima,Nissan,Automatic,Saudi,Standard,2017,3.5,158543,61500
297,Navara,Nissan,Automatic,Other,Full,2015,2.5,19000,38000
298,LS,Lexus,Automatic,Saudi,Full,2015,4.6,103000,170000
299,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,65392,37000
300,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,100000,44000
301,Accord,Honda,Automatic,Gulf Arabic,Semi Full,2017,2.5,62847,82000
302,Corolla,Toyota,Automatic,Saudi,Standard,2020,1.6,16479,56000
303,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,126000,63000
304,Accent,Hyundai,Automatic,Saudi,Full,2020,1.6,10400,53000
305,Suburban,Chevrolet,Automatic,Other,Full,2008,5.3,263,32000
306,Yukon,GMC,Automatic,Saudi,Full,2012,5.3,270,39000
307,Accent,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,173700,30000
308,Yukon,GMC,Automatic,Saudi,Full,2013,2.7,300,55000
309,Sunny,Nissan,Automatic,Saudi,Standard,2011,1.4,108000,19000
310,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2019,4.6,41000,190000
311,A6,Audi,Automatic,Saudi,Semi Full,2013,3.0,75000,70000
312,Flex,Ford,Automatic,Saudi,Semi Full,2014,3.5,180000,49000
313,Innova,Toyota,Automatic,Saudi,Full,2015,2.7,114000,49000
314,Taurus,Ford,Automatic,Saudi,Semi Full,2010,4.4,10000,25000
315,Dokker,Renault,Manual,Saudi,Standard,2016,1.8,143000,20000
316,Taurus,Ford,Automatic,Other,Semi Full,2017,3.5,142311,75000
317,Cadenza,Kia,Automatic,Saudi,Full,2017,3.3,88000,83000
318,CX5,Mazda,Automatic,Saudi,Full,2019,2.5,33000,102000
319,Camry,Toyota,Automatic,Other,Standard,2016,2.5,148254,59000
320,Expedition,Ford,Automatic,Saudi,Standard,2016,5.4,172000,76000
321,Camry,Toyota,Manual,Saudi,Standard,2009,2.5,350000,25000
322,CX9,Mazda,Automatic,Gulf Arabic,Full,2016,3.7,169300,65000
323,Land Cruiser,Toyota,Automatic,Saudi,Full,2006,4.5,215000,79000
324,Accord,Honda,Automatic,Saudi,Standard,2008,2.4,197000,20000
325,Sonata,Hyundai,Manual,Saudi,Standard,2019,2.4,3400,58000
326,Rio,Kia,Automatic,Saudi,Standard,2016,1.4,270000,25000
327,Suburban,GMC,Automatic,Saudi,Standard,2006,2.0,230000,29000
328,Maxima,Nissan,Automatic,Saudi,Full,2017,1.0,135000,73000
329,Mohave,Kia,Automatic,Saudi,Standard,2014,3.8,256000,30000
330,Yukon,GMC,Automatic,Saudi,Standard,2007,5.3,262,30000
331,Traverse,Chevrolet,Automatic,Other,Semi Full,2009,3.6,325,18000
332,Datsun,Nissan,Manual,Saudi,Semi Full,2016,2.4,125000,45000
333,Yaris,Toyota,Manual,Saudi,Standard,2016,1.5,134000,23000
334,Explorer,Ford,Automatic,Other,Standard,2003,4.0,360000,8000
335,The 5,BMW,Automatic,Saudi,Standard,2014,2.0,150000,57000
336,Yukon,GMC,Automatic,Saudi,Standard,2011,5.3,401000,52000
337,Patrol,Nissan,Automatic,Saudi,Semi Full,2015,5.6,219175,113500
338,The 7,BMW,Automatic,Gulf Arabic,Full,2014,2.0,139000,90000
339,Furniture,Toyota,Automatic,Saudi,Standard,2011,2.7,304000,32000
340,Elantra,Hyundai,Automatic,Saudi,Standard,2018,1.6,57000,44000
341,Elantra,Hyundai,Automatic,Other,Full,2016,1.6,87000,42000
342,Caprice,Chevrolet,Automatic,Saudi,Standard,2015,6.2,268041,75000
343,C,Mercedes,Automatic,Saudi,Full,2015,2.0,125000,119000
344,Durango,Dodge,Automatic,Saudi,Semi Full,2013,5.7,253,29000
345,ES,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,85000,141000
346,3,Mazda,Automatic,Saudi,Standard,2018,2.0,47000,54000
347,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,76014,48000
348,Rush,Toyota,Automatic,Saudi,Standard,2020,1.5,55000,52000
349,Sentra,Nissan,Automatic,Saudi,Standard,2017,1.6,105272,38500
350,Range Rover,Land Rover,Automatic,Saudi,Full,2014,2.0,48000,100000
351,Cherokee,Jeep,Automatic,Saudi,Standard,2010,3.4,400,15000
352,Hilux,Toyota,Manual,Saudi,Standard,2017,2.7,73000,72000
353,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.6,109000,33000
354,Expedition,Ford,Automatic,Saudi,Standard,2014,5.7,190700,59000
355,Camry,Toyota,Automatic,Saudi,Semi Full,2016,2.5,238000,48500
356,Azera,Hyundai,Automatic,Gulf Arabic,Semi Full,2012,3.0,433000,30000
